strategy	scale_label	status	n_cells	n_genes	total_seconds	compute_seconds	plot_seconds	export_seconds	r_seconds	n_interactions	maxrss_mb
pyccc_python	cells_1000000	ok	1000000	787	47.01404265300516	45.55485353099357	1.4591873259996646	0.0	0.0	122.0	44489.40234375
pyccc_cellchat_bridge	cells_1000000	ok	1000000	787	63.691796204999264	45.406660674001614	0.0	1.2049864789951243	17.080145370993705	122.0	44489.40234375
direct_cellchat	cells_1000000	ok	1000000	787	201.0962980339973	162.847	3.90899999999999	0.0	201.0962980339973		44489.40234375
