clade	density_prior	density_stat	density_source_species	density_source_resources	n_species
animal	0.005526299494797085	median	human;mouse	CellChatDB	2
plant	0.015177150276693918	median	arabidopsis;rice;maize;tomato	PlantCellChatDB	4
