source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	pooled	100	100	100	8.178492729275184e-06	8.178492729275184e-06	8.481198050535863e-06	2.197932586056876e-06	-0.1377227505433809	0.5106223444138965	-0.1377227505433809	0.5106223444138965
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	coordinate_permutation	100	100	100	8.178492729275184e-06	8.178492729275184e-06	8.215822837067901e-06	7.192916147754284e-08	-0.5189843316103776	0.6903096903096904	-0.5189843316103776	0.6903096903096904
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	celltype_permutation	100	100	100	8.178492729275184e-06	8.178492729275184e-06	9.19282287090455e-06	2.5720791769759333e-06	-0.39436194294063	0.5984015984015985	-0.39436194294063	0.5984015984015985
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	matched_random_lr	100	100	100	8.178492729275184e-06	8.178492729275184e-06	9.888270592174238e-06	2.5876886027615107e-06	-0.6607355541445078	0.7542457542457542	-0.6607355541445078	0.7542457542457542
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	score_permutation	100	100	100	8.178492729275184e-06	8.178492729275184e-06	6.627875901996759e-06	1.5411988755266972e-07	10.061107958883692	0.0009990009990009	10.061107958883692	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	pooled	500	500	500	9.120611899480669e-06	9.120611899480669e-06	9.187317582556172e-06	1.8929176439649216e-06	-0.0352396118701616	0.4063984003999	-0.0352396118701616	0.4063984003999
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	coordinate_permutation	500	500	500	9.120611899480669e-06	9.120611899480669e-06	9.153514717938734e-06	7.66221287427549e-08	-0.429416658058804	0.6233766233766234	-0.429416658058804	0.6233766233766234
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	celltype_permutation	500	500	500	9.120611899480669e-06	9.120611899480669e-06	1.0975216581562124e-05	2.9165084021976413e-06	-0.6358989676436306	0.7162837162837162	-0.6358989676436306	0.7162837162837162
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	matched_random_lr	500	500	500	9.120611899480669e-06	9.120611899480669e-06	8.734766536473467e-06	8.485221299802854e-07	0.4547263405094294	0.2867132867132867	0.4547263405094294	0.2867132867132867
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	score_permutation	500	500	500	9.120611899480669e-06	9.120611899480669e-06	7.885772494250369e-06	9.888277743022685e-08	12.487911821668048	0.0009990009990009	12.487911821668048	0.0009990009990009
