source	target	ligand	receptor	pathway	prob_a	pvalue_a	ligand_expr_a	receptor_expr_a	prob_b	pvalue_b	ligand_expr_b	receptor_expr_b	delta_prob	abs_delta_prob	log2fc	percent_change	is_new	is_lost	direction
effector memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	1.6809053613940003e-05		0.0031152647975077	0.0026978984541571	-1.3125025350075164e-05	1.3125025350075164e-05	-2.1895767360809497	-0.7807842646730782	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
central memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	GRN	SORT1	GRN	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
effector memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.98653214468435e-06		0.0062380038387715	0.0004798464491362	1.577017278043916e-05		0.0101246105919003	0.0007788161993769	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	-0.6203495942856811	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	LGALS9	CD44	GALECTIN	5.526032216767824e-06		0.0014395393474088	0.0019193857965451	1.455710022563505e-05		0.0023364485981308	0.0031152647975077	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.455710022563505e-05		0.0093457943925233	0.0007788161993769	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	LGALS9	CD44	GALECTIN	5.526032216767824e-06		0.0014395393474088	0.0019193857965451	1.455710022563505e-05		0.0023364485981308	0.0031152647975077	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.455710022563505e-05		0.0093457943925233	0.0007788161993769	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.455710022563505e-05		0.0093457943925233	0.0007788161993769	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.455710022563505e-05		0.0093457943925233	0.0007788161993769	-9.031068008867229e-06	9.031068008867229e-06	-1.3972451747566117	-0.6203466021592989	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	1.2606843187730763e-05		0.0023364485981308	0.0026978984541571	-8.922814923865924e-06	8.922814923865924e-06	-1.7745739064167902	-0.7077193768200655	False	False	normal
effector memory CD8-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.3344024727690911e-05		0.0085669781931464	0.0007788161993769	-7.81799251092309e-06	7.81799251092309e-06	-1.2717250516475564	-0.5858357455644696	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.3344024727690911e-05		0.0085669781931464	0.0007788161993769	-7.81799251092309e-06	7.81799251092309e-06	-1.2717250516475564	-0.5858357455644696	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.3344024727690911e-05		0.0085669781931464	0.0007788161993769	-7.81799251092309e-06	7.81799251092309e-06	-1.2717250516475564	-0.5858357455644696	False	False	normal
effector memory CD8-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	PPIA	BSG	CypA	5.526032216767824e-06		0.0057581573896353	0.0004798464491362	1.3344024727690911e-05		0.0085669781931464	0.0007788161993769	-7.81799251092309e-06	7.81799251092309e-06	-1.2717250516475564	-0.5858357455644696	False	False	normal
