source	target	ligand	receptor	pathway	prob_a	pvalue_a	ligand_expr_a	receptor_expr_a	prob_b	pvalue_b	ligand_expr_b	receptor_expr_b	delta_prob	abs_delta_prob	log2fc	percent_change	is_new	is_lost	direction
effector memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	1.842017524954732e-06		0.0019193857965451	0.0004798464491362	4.852413833261355e-06		0.0031152647975077	0.0007788161993769	-3.010396308306623e-06	3.010396308306623e-06	-1.396930089412746	-0.620263676605488	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	ANXA1	FPR1	ANNEXIN	7.368029383701182e-06		0.0019193857965451	0.0019193857965451	9.7047805749112e-06		0.0015576323987538	0.0031152647975077	-2.336751191210019e-06	2.336751191210019e-06	-0.3973696381394499	-0.2407587079858745	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	RETN	TLR4	RESISTIN	1.3815137799091977e-06		0.0004798464491362	0.0014395393474088	3.639314789811374e-06		0.0007788161993769	0.0023364485981308	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	LGALS9	P4HB	GALECTIN	1.3815137799091977e-06		0.0014395393474088	0.0004798464491362	3.639314789811374e-06		0.0023364485981308	0.0007788161993769	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	LGALS9	P4HB	GALECTIN	1.3815137799091977e-06		0.0014395393474088	0.0004798464491362	3.639314789811374e-06		0.0023364485981308	0.0007788161993769	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	RETN	CAP1	RESISTIN	1.3815137799091977e-06		0.0004798464491362	0.0014395393474088	3.639314789811374e-06		0.0007788161993769	0.0023364485981308	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	LGALS9	P4HB	GALECTIN	1.3815137799091977e-06		0.0014395393474088	0.0004798464491362	3.639314789811374e-06		0.0023364485981308	0.0007788161993769	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	LGALS9	CD44	GALECTIN	1.3815137799091977e-06		0.0014395393474088	0.0004798464491362	3.639314789811374e-06		0.0023364485981308	0.0007788161993769	-2.257801009902176e-06	2.257801009902176e-06	-1.396769350046888	-0.6202213655317336	False	False	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	CCL5	CCR1	CCL	1.8420175249547325e-06		0.0019193857965451	0.0004798464491362	3.639314789811374e-06		0.0023364485981308	0.0007788161993769	-1.7972972648566416e-06	1.7972972648566416e-06	-0.981993420944519	-0.4937202875660569	False	False	normal
central memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	1.842017524954732e-06		0.0019193857965451	0.0004798464491362	3.6393147898113735e-06		0.0023364485981308	0.0007788161993769	-1.7972972648566414e-06	1.7972972648566414e-06	-0.981993420944519	-0.4937202875660569	False	False	normal
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	1.842017524954732e-06		0.0019193857965451	0.0004798464491362	3.6393147898113735e-06		0.0023364485981308	0.0007788161993769	-1.7972972648566414e-06	1.7972972648566414e-06	-0.981993420944519	-0.4937202875660569	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	3.190463639471844e-06		0.0019193857965451	0.0008311184297355	4.852413833261355e-06		0.0031152647975077	0.0007788161993769	-1.6619501937895118e-06	1.6619501937895118e-06	-0.6047816676197096	-0.3424291129678362	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
effector memory CD8-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	9.21009610735288e-07		0.0004798464491362	0.0009596928982725	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-1.5052031923896736e-06	1.5052031923896736e-06	-1.3964469066423897	-0.6201364752409723	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	LGALS9	P4HB	GALECTIN	1.3815137799091977e-06		0.0014395393474088	0.0004798464491362	0.0		0.0	0.0	1.3815137799091977e-06	1.3815137799091977e-06	10.433078144946723	1381.5137799091976	True	False	cytomegalovirus infection
effector memory CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	2.101162605478026e-06		0.0007788161993769	0.0013489492270785	-1.3035447870320793e-06	1.3035447870320793e-06	-1.3962971019884716	-0.6200970294282524	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	2.101162605478026e-06		0.0007788161993769	0.0013489492270785	-1.3035447870320793e-06	1.3035447870320793e-06	-1.3962971019884716	-0.6200970294282524	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	2.101162605478026e-06		0.0007788161993769	0.0013489492270785	-1.3035447870320793e-06	1.3035447870320793e-06	-1.3962971019884716	-0.6200970294282524	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	6.380906920892169e-06		0.0019193857965451	0.001662236859471	7.278603090494871e-06		0.0023364485981308	0.0015576323987538	-8.976961696027019e-07	8.976961696027019e-07	-0.1898722244815802	-0.1233166366961466	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	1.59523436450454e-06		0.0004798464491362	0.001662236859471	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-8.309784386204217e-07	8.309784386204217e-07	-0.6046281122268615	-0.3423591197074119	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	1.59523436450454e-06		0.0004798464491362	0.001662236859471	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-8.309784386204217e-07	8.309784386204217e-07	-0.6046281122268615	-0.3423591197074119	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	1.59523436450454e-06		0.0004798464491362	0.001662236859471	2.4262128031249616e-06		0.0007788161993769	0.0015576323987538	-8.309784386204217e-07	8.309784386204217e-07	-0.6046281122268615	-0.3423591197074119	False	False	normal
effector memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
effector memory CD8-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	1.2131078731914078e-06		0.0007788161993769	0.0007788161993769	-7.526028557589903e-07	7.526028557589903e-07	-1.3954783725018027	-0.6198813732923879	False	False	normal
effector memory CD8-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
effector memory CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	4.605050174324174e-07		0.0004798464491362	0.0004798464491362	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-7.526028557589902e-07	7.526028557589902e-07	-1.3954783725018027	-0.619881373292388	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	0.0		0.0	0.0	4.605050174324175e-07	4.605050174324175e-07	8.850202522554804	460.5050174324174	True	False	cytomegalovirus infection
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	0.0		0.0	0.0	4.605050174324175e-07	4.605050174324175e-07	8.850202522554804	460.5050174324174	True	False	cytomegalovirus infection
effector memory CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	0.0		0.0	0.0	4.605050174324175e-07	4.605050174324175e-07	8.850202522554804	460.5050174324174	True	False	cytomegalovirus infection
effector memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	0.0		0.0	0.0	4.605050174324175e-07	4.605050174324175e-07	8.850202522554804	460.5050174324174	True	False	cytomegalovirus infection
central memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	IL16	CD4	IL16	4.605050174324175e-07		0.0004798464491362	0.0004798464491362	0.0		0.0	0.0	4.605050174324175e-07	4.605050174324175e-07	8.850202522554804	460.5050174324174	True	False	cytomegalovirus infection
central memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	3.190463639471844e-06		0.0019193857965451	0.0008311184297355	3.6393147898113735e-06		0.0023364485981308	0.0007788161993769	-4.4885115033952986e-07	4.4885115033952986e-07	-0.1898449991514826	-0.1233000925073261	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-4.154900547454608e-07	4.154900547454608e-07	-0.6043194441087881	-0.3422184007861693	False	False	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-4.154900547454608e-07	4.154900547454608e-07	-0.6043194441087881	-0.3422184007861693	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	MIF	CD74_CXCR4	MIF	7.976178184459468e-07		0.0004798464491362	0.0008311184297355	1.2131078731914076e-06		0.0007788161993769	0.0007788161993769	-4.154900547454608e-07	4.154900547454608e-07	-0.6043194441087881	-0.3422184007861693	False	False	normal
