source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	matched_random_lr	5000	5000	4021	1.6440029424569947e-05	1.6440029424569947e-05	1.499182903359586e-05	4.019528909885642e-07	3.602910747606214	0.0009990009990009	3.602910747606214	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	score_permutation	5000	5000	4021	1.6440029424569947e-05	1.6440029424569947e-05	1.644002942456995e-05	3.3898271265208486e-21	-0.999499874937461	1.0	-0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	coordinate_permutation	100	100	100	0.0001082325842844	0.0001082325842844	0.0001083786758208	9.30508717721229e-07	-0.1570017923255488	0.4765234765234765	-0.1570017923255488	0.4765234765234765
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	celltype_permutation	100	100	100	0.0001082325842844	0.0001082325842844	0.0001361811481542	3.69468616148177e-05	-0.7564529881093996	0.7772227772227772	-0.7564529881093996	0.7772227772227772
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	matched_random_lr	100	100	100	0.0001082325842844	0.0001082325842844	5.703072333500317e-05	5.656574996614009e-06	9.05174261457828	0.0009990009990009	9.05174261457828	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	score_permutation	100	100	100	0.0001082325842844	0.0001082325842844	7.820197046918756e-05	2.189575428558787e-06	13.715268002889148	0.0009990009990009	13.715268002889148	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	coordinate_permutation	500	500	500	6.555381034566118e-05	6.555381034566118e-05	6.56938707460423e-05	5.554615519938909e-07	-0.2521513863171164	0.5244755244755245	-0.2521513863171164	0.5244755244755245
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	celltype_permutation	500	500	500	6.555381034566118e-05	6.555381034566118e-05	8.24916262681232e-05	2.185669466040118e-05	-0.7749486455126753	0.7842157842157842	-0.7749486455126753	0.7842157842157842
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	matched_random_lr	500	500	500	6.555381034566118e-05	6.555381034566118e-05	4.682780324689888e-05	2.1297043819313354e-06	8.792772958367353	0.0009990009990009	8.792772958367353	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	score_permutation	500	500	500	6.555381034566118e-05	6.555381034566118e-05	4.959976765276584e-05	7.046664385255966e-07	22.640559874366456	0.0009990009990009	22.640559874366456	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	coordinate_permutation	1000	1000	1000	4.326739332848721e-05	4.326739332848721e-05	4.337288877164497e-05	3.636901891645085e-07	-0.2900695325329215	0.5414585414585414	-0.2900695325329215	0.5414585414585414
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	celltype_permutation	1000	1000	1000	4.326739332848721e-05	4.326739332848721e-05	5.381867769782387e-05	1.4224692042566917e-05	-0.7417583690221408	0.7682317682317682	-0.7417583690221408	0.7682317682317682
