dataset	density_prior	density_source_species	density_source_resources	density_mode	candidate_ligand_count	candidate_receptor_count	candidate_pair_count	candidate_grid_size	target_pair_count	capped_target_pair_count	selected_pair_count	achieved_density	density_delta	density_ratio	score_threshold	min_score	max_pairs	max_pairs_per_ligand	max_pairs_per_receptor	allow_low_score_density_fill	warning	model_stack	embedding_model_name	embedding_model_revision	embedding_backend	role_model	role_model_bypassed	pair_model	pair_model_name	density_groupby	allow_fixture_models	n_expression_genes	n_protein_genes	n_matched_genes	n_expression_only_genes	n_protein_only_genes
artista_axolotl	0.005526299494797	human;mouse	CellChatDB	table	1778	921	1506740	1637538	9050	9050	9050	0.0055265893066298	2.898118328306665e-07	1.000052442295808	0.7642245596009861	0.5	50000	200	200	False	unmatched_expression_genes;unmatched_protein_genes	esmc300m_lgbm_role_classifiers_lgbm_pair_ranker_clade_density_v0	biohub/esmc-300m-2024-12		esmc	models/animal_esmc300m_lgbm_role_classifiers_v0	False	models/animal_esmc300m_lgbm_pair_ranker_v0	animal_esmc300m_lgbm_pair_ranker_v0	clade	False	30766	24936	24922	5844	14
sota_soybean	0.0151771502766939	arabidopsis;rice;maize;tomato	PlantCellChatDB	table	2500	996	1554087	2490000	37791	37791	37791	0.0151771084337349	-4.184295896055013e-08	0.9999972430292776	0.6026372520360196	0.5	50000	200	200	False	unmatched_expression_genes	esmc300m_lgbm_role_classifiers_lgbm_pair_ranker_clade_density_v0	biohub/esmc-300m-2024-12		esmc	models/universal_esmc300m_lgbm_role_classifiers_v0	False	models/universal_esmc300m_lgbm_pair_ranker_v0	universal_esmc300m_lgbm_pair_ranker_v0	clade	False	28180	27482	27482	698	0
