pathway	prob_a	prob_b	count_a	count_b	new_count	lost_count	delta_prob	abs_delta_prob	log2fc	delta_count	direction
GALECTIN	0.0002182727989719	0.0005640506188461	15	14	1	0	-0.0003457778198742	0.0003457778198742	-1.369688232736239	1	normal
MIF	0.0002448354521933	0.00057380418671	50	50	0	0	-0.0003289687345166	0.0003289687345166	-1.228742640886981	0	normal
ANNEXIN	0.000143672304756	0.0003299362179024	5	5	0	0	-0.0001862639131464	0.0001862639131464	-1.199399500899812	0	normal
CypA	0.0001086786344447	0.0002814373416661	20	20	0	0	-0.0001727587072214	0.0001727587072214	-1.372737269054691	0	normal
CCL	3.729966290705691e-05	9.218845531729737e-05	2	2	0	0	-5.488879241024046e-05	5.488879241024046e-05	-1.3054004735340383	0	normal
RESISTIN	1.243361002295988e-05	3.275373598174651e-05	6	6	0	0	-2.032012595878663e-05	2.032012595878663e-05	-1.3973422577460757	0	normal
IL16	1.6117662886259923e-05	3.639314789822086e-05	20	15	5	0	-2.0275485011960937e-05	2.0275485011960937e-05	-1.174974415818881	5	normal
CD40	6.330886856213363e-06	1.667740348429709e-05	3	3	0	0	-1.0346516628083726e-05	1.0346516628083726e-05	-1.3972738140660297	0	normal
GRN	5.98653214468435e-06	1.577017278043916e-05	1	1	0	0	-9.78364063575481e-06	9.78364063575481e-06	-1.397256544977261	0	normal
